accent,latitude,longitude
62021,47.3078125,14.3750373
62014,47.247305,14.8456341
62010,47.4339999,14.4834523
62008,47.2731973,14.6694941
62007,47.2073941,14.6779341
61766,47.2174206,15.6221694
61765,47.1531781,15.6633027
61764,47.186381,15.780312855579535
61763,47.2819214,15.515058
61762,47.160101600000004,15.760163074671528
61761,47.21114095,15.530309934233168
61760,47.1054105,15.7098162
61759,47.1622227,15.8538305
61758,47.2864789,15.4778033
61757,47.3560657,15.6950405
61756,47.2744566,15.6901034
61751,47.2501951,15.654711874776245
61750,47.4117299,15.72315
61748,47.1049888,15.8269858
61746,47.0481158,15.743526180263716
61745,47.3008599,15.5769319
61744,47.4900211,15.677130042132763
61743,47.5257339,15.7796033
61741,47.483903,15.7209538
61740,47.224767,15.7257485
61731,47.2457116,15.6041668
61730,47.218058549999995,15.586268420696161
61729,47.1702269,15.616049
61728,47.3696694,15.7593401
61727,47.11021875,15.675574367381659
61719,47.0752214,15.7479752
61716,47.0546863,15.8431863
61711,47.3833333,15.5708676
61710,47.2620383,15.743553199533856
61708,47.4429172,15.6502412
61701,47.14023545,15.720405693500913
61633,47.0012911,15.2736048
61632,47.0637311,15.0636954
61631,47.0644882,15.0850032
61630,47.1408243,15.0930166
61629,46.9968995,14.96487182474663
61628,47.1693886,15.1651438
61627,47.0223283,15.0503629
61626,47.0726198,15.1262903
61625,47.0504742,15.1474771
61624,47.0455874,15.2177953
61621,47.0101328,15.1039419
61618,47.0512948,15.1246598
61615,46.985045,15.2822289
61612,46.9930883,15.207952
61611,47.014776499999996,15.189208871362963
61446,47.137338549999996,14.322966383841795
61445,47.022908,13.969509134296207
61444,47.1502827,14.4100976
61443,47.072029,14.2990842
61442,47.08670965,14.087380785552964
61441,47.1578564,14.0824705
61440,47.203977,14.2811889
61439,47.073124,14.4260465
61438,47.11224,14.16919
61437,47.216545999999994,13.955919995709564
61428,47.1823383,14.1119365
61425,47.1870253,14.1871049
61413,47.1497565,14.3739465
61410,47.0308158,14.5078894
61267,47.5605255,14.069501263821493
61266,47.34787205,13.98686223534862
61265,47.3940415,13.6867878
61264,47.6923547,14.6172935
61263,47.524226,14.3585643
61262,47.4611236,13.9909816
61261,47.4760129,13.942759519148035
61260,47.385314050000005,13.883338817569491
61259,47.5070965,14.212568375549036
61258,47.64748255,14.77771646800959
61257,47.411233,14.150191275493967
61256,47.4910077,14.5480409
61255,47.5553729,13.9323276
61254,47.4198349,13.8204237
61253,47.573782,14.4615721
61252,47.5523492,14.146968
61251,47.6649592,14.9854134
61247,47.487348,14.4857262
61243,47.5495159,14.314379
61236,47.4217532,13.6531171
61222,47.5269086,14.2633436
61217,47.4763499,12.1226254
61215,47.6272662,13.837928
61213,47.4459809,13.9008766
61207,47.6094985,13.7835784
61206,47.5911294,14.3645596
61205,47.7243778,14.6489549
61204,47.6398954,13.7640614
61203,47.520529,14.1431493
61120,47.4251065,15.0065515
61119,47.4494381,14.6748123
61118,47.4883966,14.9940399
61116,47.377154,14.9859054
61115,47.3180637,14.98045
61114,47.3996862,15.032138
61113,47.3378642,15.0210982
61112,47.532933400000005,14.752229357949414
61111,47.3978336,15.1335335
61110,47.3969055,15.1571394
61109,47.4009263,14.8263243
61108,47.3805128,15.0947756
61107,47.307268,14.9355514
61106,47.3929688,14.9007553
61105,47.4259292,14.7585811
61101,47.5420788,14.8857099
61061,46.7267476,15.6282242
61060,46.77423895,15.667012686184467
61059,46.8873498,15.5145485
61057,46.857577250000006,15.652138842956905
61055,46.8759143,15.5790451
61054,46.66735,15.4681947
61053,46.7804762,15.5407005
61052,46.9553629,15.5854661
61051,46.7530485,15.3665385
61050,46.7213788,15.5533088
61049,46.725492,15.5847781
61045,46.766314,15.5571703
